1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
10,145
10,290
13,394
15,377
21,19
22,7
23,20
24,21
24,22
24,733
25,22
26,22
26,23
26,733
27,24
28,25
28,523
29,26
30,27
31,28
31,356
32,29
33,30
34,31
35,32
36,33
39,19
40,34
40,64
41,35
41,418
42,36
42,356
43,37
44,38
45,39
45,394
46,40
47,41
48,31
49,42
50,39
50,394
51,43
52,44
53,45
54,46
55,47
55,87
56,48
57,49
59,50
60,51
61,52
62,53
63,54
64,55
65,56
66,57
67,58
68,59
69,60
70,61
71,62
72,63
72,106
73,64
74,65
74,216
75,66
76,67
77,68
78,69
79,70
80,71
81,7
82,72
83,73
84,74
87,62
88,75
89,76
90,77
91,78
92,79
93,79
94,80
95,81
97,394
99,82
100,83
103,84
103,484
104,85
105,86
105,397
106,87
107,88
108,89
109,53
110,90
111,53
112,91
113,92
114,44
115,53
117,93
118,94
118,135
119,87
119,95
119,249
120,96
121,97
122,98
123,99
124,100
125,101
126,102
127,103
128,44
129,104
130,105
131,106
132,107
133,90
134,108
135,92
136,109
137,44
138,110
139,111
140,111
141,112
142,113
142,557
142,724
143,114
144,115
145,116
146,117
146,430
147,62
148,118
149,119
149,279
150,118
151,120
152,39
152,394
153,121
154,122
155,123
156,124
157,125
158,93
158,126
159,127
160,128
161,129
162,130
163,131
164,132
164,694
165,133
166,394
167,109
168,134
169,135
170,136
171,137
172,138
173,139
174,140
175,141
176,142
177,143
178,144
179,145
180,146
181,147
182,44
182,148
183,149
184,394
185,33
186,150
188,108
189,45
190,151
191,152
192,153
193,154
194,155
195,156
196,157
197,158
198,159
199,160
200,161
201,162
202,163
203,164
204,165
205,166
206,167
207,168
208,169
209,170
210,136
211,394
212,171
213,172
213,262
214,173
215,174
216,175
216,178
216,349
217,176
218,113
218,557
218,724
219,177
220,177
221,178
222,179
223,394
224,394
225,180
227,128
227,181
228,182
229,109
230,183
231,394
232,184
233,120
234,185
235,186
236,187
237,394
238,394
239,394
240,394
241,188
243,189
244,190
246,191
247,192
248,103
249,49
250,42
251,193
252,194
253,195
254,195
255,195
256,196
257,197
258,31
259,394
260,198
261,107
262,199
263,129
264,200
265,201
266,202
267,203
268,204
269,205
270,206
271,207
272,208
273,209
274,210
275,110
276,211
277,212
278,213
279,112
280,214
281,215
282,216
283,394
284,217
284,222
285,218
286,90
287,219
288,394
289,77
290,93
291,394
292,220
293,221
294,222
295,223
296,224
297,394
298,225
298,430
299,226
301,44
302,227
303,228
304,229
305,230
306,231
306,652
307,62
308,232
309,233
310,234
311,235
312,2
313,236
314,237
314,316
315,238
316,239
317,134
318,240
319,241
319,497
320,242
320,481
320,500
321,243
322,244
323,394
324,219
325,219
325,245
326,191
326,246
326,247
327,247
328,247
329,44
329,248
330,249
331,250
332,251
333,252
334,394
335,253
336,81
337,254
338,255
339,394
340,256
341,257
342,394
344,178
344,249
344,258
345,108
346,62
347,109
348,259
348,374
349,201
350,53
351,260
352,261
354,135
355,112
356,262
357,87
358,90
359,202
360,263
361,264
362,236
363,394
364,265
365,266
366,44
367,4
368,267
369,268
370,269
371,270
372,271
373,394
374,272
375,207
376,273
377,274
378,275
379,127
380,276
381,277
382,90
383,278
384,279
385,223
386,280
387,281
388,234
389,282
390,283
391,284
392,62
393,285
394,110
395,394
396,286
397,269
398,287
399,288
400,289
401,290
402,108
403,291
404,1
405,269
406,90
406,118
406,292
407,293
408,288
408,294
409,196
409,295
410,296
411,297
412,298
413,62
414,299
416,300
417,25
417,523
419,127
420,301
421,197
422,302
423,302
423,303
424,155
425,304
426,305
427,306
428,273
429,87
430,45
431,307
432,308
433,309
434,310
435,239
435,311
436,62
437,194
438,312
439,128
439,313
440,142
441,223
442,394
443,314
444,315
445,316
446,120
447,317
448,318
449,319
450,320
451,90
453,169
454,321
455,322
456,323
457,324
458,325
459,92
460,156
461,62
462,282
463,326
464,394
465,31
466,394
467,327
468,328
469,324
470,329
471,330
472,216
473,331
473,332
474,332
475,333
476,334
477,335
478,269
479,31
480,336
481,337
482,338
483,339
485,340
486,341
487,342
488,343
489,344
490,345
492,346
493,347
494,348
495,349
496,350
497,87
497,351
498,352
499,353
500,354
502,53
503,316
504,146
505,355
506,356
507,279
507,357
508,358
509,359
510,80
510,360
511,361
512,186
513,136
514,362
515,363
516,236
517,364
518,365
519,262
520,62
521,366
521,481
522,222
524,103
525,44
526,76
527,367
528,222
529,79
530,212
531,202
532,342
533,45
533,142
533,368
533,381
