32,Abyssinia,1987,Broadway,Ted Kociolek,James Racheff,Racheff and Kociolek,"Based on the novel Marked by Fire, by Joyce Carol Thomas.",https://en.wikipedia.org/wiki/Abyssinia_(musical)
33,Ace,2006,Off-Off-Broadway,Richard Oberacker,Robert Taylor and Oberacker,Taylor and Oberacker,,https://en.wikipedia.org/wiki/Ace_(musical)
34,Ace of Clubs,1950,West End,Noël Coward,Coward,Coward,,https://en.wikipedia.org/wiki/Ace_of_Clubs_(musical)
35,Acorn Antiques: The Musical!,2005,West End,Victoria Wood,Wood,Wood,,https://en.wikipedia.org/wiki/Acorn_Antiques:_The_Musical!
36,Across the Universe,2007,Musical film,The Beatles,The Beatles,Julie Taymor,,https://en.wikipedia.org/wiki/Across_the_Universe_(film)
37,The Act,1977,Broadway,John Kander,Fred Ebb,George Furth,,https://en.wikipedia.org/wiki/The_Act_(musical)
38,The Addams Family,"2010
","Broadway
Touring UK
",Andrew Lippa,Lippa,Marshall Brickman and Rick Elice,,https://en.wikipedia.org/wiki/The_Addams_Family_(musical)
39,Adding Machine,2008,Off-Broadway,Joshua Schmidt,Jason Loewith and Schmidt,Loewith and Schmidt,,https://en.wikipedia.org/wiki/Adding_Machine_(musical)
40,Adèle,1913,Broadway,Jean Briquet and Adolf Phillipp,Paul Hervé,Hervé,English adaptation by Philipp and Edward A. Paulton.,https://en.wikipedia.org/wiki/Adele_(musical)
41,Adonis,1884,Broadway,Edward E. Rice and John Eller,Rice and Eller,William Gill,,https://en.wikipedia.org/wiki/Adonis_(musical)
42,"The Adventures of Priscilla, Queen of the Desert",1994,Musical film,Guy Cross and various artists,Various artists,Stephan Elliott,,https://en.wikipedia.org/wiki/Priscilla_Queen_of_the_Desert_(musical)
43,The Adventures of Tom Sawyer,2001,Broadway,Don Schlitz,Schlitz,Ken Ludwig,,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer_(musical)
44,Affair in Trinidad,1952,Musical film,Lester Lee and Bob Russell et al.,Lee and Russell et al.,Berne Giler and James Gunn,,https://en.wikipedia.org/wiki/Affair_in_Trinidad
45,The Affairs of Dobie Gillis,1953,Musical film,Various Artists,Various Artists,Max Shulman,,https://en.wikipedia.org/wiki/The_Affairs_of_Dobie_Gillis
46,Afgar,1919,West End,Charles Cuvillier,Douglas Furber,Fred Thompson and Worton David,,https://en.wikipedia.org/wiki/Afgar
47,Africana,1934,Broadway,Donald Heyward,Heyward,Heyward,,
48,After the Ball,1953,West End,Noël Coward,Coward,Coward,"Based on Oscar Wilde's play, Lady Windermere's Fan.",https://en.wikipedia.org/wiki/After_the_Ball_(musical)
49,Aida,2000,Broadway,Elton John,Tim Rice,"Linda Woolverton, Robert Falls and David Henry Hwang",,https://en.wikipedia.org/wiki/Aida_(musical)
