253,Bastida
254,Herman
255,Paul Francis Webster
256,Axt
257,Morton
258,David Kitay
259,Christopher Lennertz
260,Richard Wilbur
261,Golden
262,Parker and Sanders
263,"Mullins, McVicker and Beaker"
264,Nevill Coghill
265,Simon and Derek Walcott
266,Charles Klein and Tom Frost
267,Pollack
268,B.G. DeSylva and Laurence Schwab
269,Cadman
270,Hatch and Trent
271,William Archibald
272,Jack Murphy
273,"Kim Duddy, Gellner and Stranka"
274,Johnny Burke
275,Duning
276,Tony Kushner
277,Dean Pitchford
278,Leo Robin
279,Raymond W. Peck
280,Otto Harbach
281,Charles H. Taylor
282,Scott Wittman and Shaiman
283,Jack Good
284,Bucchino
285,T. S. Eliot
286,Berlin and Henry Blossom
287,Lord Berners
288,Shaiman and Wittman
289,Heneker and Taylor
290,Sherman and Sherman
291,Michael Colby
292,Jack Yellen
293,Tim Rice and Ulvaeus
294,Smith
295,Douglas J. Cohen
296,Anne Caldwell and James O'Dea
297,Harry Greenbank
298,Noble Sissle
299,Stanislaus Stange
300,Edward Kleban
301,Shannon
302,"Graciela Daniele, Jim Lewis and Michael John LaChiusa"
303,Norton
304,Jansen
305,"David, Hoffman and Livingston"
306,Musumarra
307,Adrian Ross and Percy Greenbank
308,David Zippel
309,Kleban
310,Sheffield
311,Richard Maltby Jr.
312,Pet Shop Boys
313,Tom Chiodo
314,Leo Shuken
315,Sam Coslow
316,Mendoza
317,"Russell, Willis and Bray"
318,Sankoff and Hein
319,Will Holt
320,Gershenson
321,Norman Gimbel
322,Ward
323,Manilow
324,David Craig
325,John August
326,Chapin
327,Basil Hood and Adrian Ross
328,Frank Wildhorn
329,Wildhorn
330,Blevins and Beth Clary
331,Sammy Cahn
332,Ira Gershwin and E. Y. Harburg
333,Adolph Deutsch
334,Blitzstein
335,John Cranko
336,David Javerbaum
337,William Alfred and Phyllis Robinson
338,Stothart
339,Paul Flynn
340,Dahdah
341,Ted Koehler
342,Anthony Burgess
343,"Koen van Dijk, Peter Reeves and Sheldon Harnick"
344,"Boney M., Frank Farian"
345,Johnny Mercer
346,Paul Gordon
347,"Al Dubin, Irving Kahal, Mort Dixon"
348,"George Haimsohn, Robin Miller"
349,Jerry Ross
350,"Björk, Lars von Trier, Sjón"
351,Sam Coslow and Leo Robin
352,Michael Kunze
353,Greg Antonacci
354,various
355,Christopher Hassall
356,Astor Piazzolla
357,Lawrence Edward Watkin
358,Yip Harburg
359,Gus Kahn
360,Dick Vosburgh
361,Jerry Herman
362,"Andrew Sherman, Tom Kitt, Jonathan Callicutt"
363,"Oscar Hammerstein II, Otto Harbach, Dorothy Donnelly, Roger Edens, Cyrus D. Wood, Ballard MacDonald, Rida Johnson Young, Harold R. Atteridge, Herbert Reynolds"
364,Edward Heyman
365,Cole Porter
366,Jacques Demy
367,Frank Loesser
368,Harold Rome
369,"Gerard Alessandrini, Howard Ashman, Craig Carnelia, Betty Comden, Fred Ebb, Ellen Fitzhugh, Adolph Green, Karl Kennett, Jack Norworth, Jim Wann, David Zippel"
370,"Madonna, Stephen Sondheim, Andy Paley"
371,Michael Brown
372,David Yazbek
373,Joseph E. Howard
374,Sandy Wilson
375,Lionel Florence and Patrice Guirao
376,James Quinn and Alaric Jans
377,Stephen Sondheim
378,Leslie Bricusse
379,Michael Korie and Amy Powers
380,Michael Korie
381,"Harold Adamson, Charles E. Henderson (The Parisian Trot)"
382,Alfred Maria Willner and Fritz Grünbaum
383,Micki Grant
384,Melvin Van Peebles
385,Garry Trudeau
386,"Burton Lane, Ralph Freed, Johnny Burke, Irving Kahal"
387,Mack Gordon and Al Dubin
388,Timothy Mason and Dr. Seuss
389,Roger Tabra
390,Don Black and Christopher Hampton
391,Harnick
392,Ira Levin
393,Ricky Ian Gordon
394,Tom Eyen
395,Bruce Sevier
396,Lisa Lambert and Greg Morrison
397,Various
398,"Joss Whedon, Maurissa Tancharoen, Jed Whedon"
399,Henry Hamilton
400,"Al Rinker, Floyd Huddleston, Henry Nemo, Lee Pearl"
401,Bert Kalmar
402,Gerome Ragni
403,Frank Churchill and Oliver Wallace
404,Marlin Skiles
405,Percy Greenbank
406,C.C. Courtney and Ragan Courtney
407,"George Marion, Jr."
408,Julie Brown
409,Skinner
410,Arden
411,Robert Van Eps
412,Boyd Graham
413,Wynn
414,Buttolph
415,Brand and Nassau
416,Henry Blossom
417,Hollaender and Waxman
418,Bill Russell
419,Chad Beguelin
420,Kati Naumann
421,Diwa de Leon and Gary Granada
422,Stephen Schwartz
423,Fred de Gresac and Harry B. Smith
424,Claxson Bellamy and Harry Paulton
425,Anne Croswell
426,"Noble Sissle, Andy Razaf, Johnny Brandon, F. E. Miller and Jim Europe"
427,Clifford Vaughan
428,Tom MacRae
429,Irving Kahal
430,Hyman
431,Rose
432,N/A
433,Field
434,Reinblatt
435,Jacques Levy
436,Susan DiLallo and Abosch
437,Joel Higgins
438,Kristen Anderson-Lopez
439,Zachary and Weiner
440,"Weiss, Goldman and Paxton"
441,Jordan
442,John Dempsey
443,E.Y. Harburg
444,Roth and Robert Cary
445,Rubens and Edward Boyd-Jones
446,Guettel and Tina Landau
447,B. G. DeSylva and Lew Brown
448,Slade and Reynolds
449,"Charig, Shapiro and Pascal"
450,Elfman
451,Gerard Alessandrini
452,Herbert Kretzmera
453,Shannon Parnell
454,Jefferey Jackson
455,Dorothy Reynolds and Slade
456,Sokolof Javitch
457,Michael Wandmacher
458,Lopez and Anderson-Lopez
459,Yazbek
460,Lisa Kron
461,Bob Merrill
462,Robert L. Freedman and Lutvak
463,George Cohan
464,Wilson Weinberg
465,Mellencamp
466,"Steward, Ballard and Bruce Joel Rubin"
467,Guy Bolton and P. G. Wodehouse
468,Barlow and Firth
469,Blaemire
470,Taylor and David Wood
471,Christina Rossetti
472,Schwartz and Episcopal Hymnal
473,John Latouche
474,"Jean Kerr, Joan Ford and Walter Kerr"
475,B.G. DeSylva and Lew Brown
476,Wilson and The Beach Boys
477,John Maclay and Abosch
478,Gilbert and Julien More
479,"Wright, Forrest and Yeston"
480,Kenward Elmslie
481,Casey and Jacobs
482,St. Louis
483,Nehls
484,Earle Crooker
485,Desmond Carter
486,Harry Greenbank and Adrian Ross
487,Loesser
488,Ellen Fitzhugh
489,Tim Minchin
490,Amanda Green
491,Bertolt Brecht
492,"Barbara Gordon, Mischa Spoliansky and Jack Fishman"
493,Matt Dubey
494,Bob Hilliard
495,Drake
496,Byrne
497,Willson
498,Porter and Susan Birkenhead
499,Martin and Gray
500,Jules Bass
501,Henry
502,Lew Brown and B. G. De Sylva
503,Irving Berlin
504,Gage and Lamps
505,W. S. Gilbert
506,Truman Capote and Arlen
507,Carolyn Leigh
508,Forster
509,Cano and Cano
510,William Dumaresq
511,Batt
512,"Brown, Harry Hill"
513,Daren Taylor
514,Ryan Cunningham
515,Joe DiPietro
516,Balcourt
517,Brian Yorkey
518,Joe Darion
519,Crystal Joy
520,David Goldsmith
521,Sarah Knapp
522,Paul Laurence Dunbar
523,Miranda
524,"Anderson-Lopez, Ford, Kaplan, Wordsworth"
525,Neuner
526,Joseph McCarthy
527,Alexandre Breffort
528,Carnelia
529,"Brel, Eric Blau and Mort Shuman"
530,Richard Nelson
531,Gordon
532,"Leslie Bricusse, Wildhorn and Steve Cuden"
533,Susan Birkenhead
534,Thomas and Stewart Lee
535,Bob Crewe
536,Tom Greenwald
537,Roark Bradford
538,Paul Green
539,Mark St. Germain
540,Julian Wagstaff
541,French
542,Woldin
543,Scantlin
544,Goldenthal
