78,Herschel Bernardi,http://en.wikipedia.org/wiki/Herschel_Bernardi
79,Michael Berresse,http://en.wikipedia.org/wiki/Michael_Berresse
80,Ken Berry,http://en.wikipedia.org/wiki/Ken_Berry
81,Sarah Uriarte Berry,http://en.wikipedia.org/wiki/Sarah_Uriarte_Berry
82,Isabel Bigley,http://en.wikipedia.org/wiki/Isabel_Bigley
83,Theodore Bikel,http://en.wikipedia.org/wiki/Theodore_Bikel
84,Vivian Blaine,http://en.wikipedia.org/wiki/Vivian_Blaine
85,Tammy Blanchard,http://en.wikipedia.org/wiki/Tammy_Blanchard
86,Jules Bledsoe,http://en.wikipedia.org/wiki/Jules_Bledsoe
87,Corbin Bleu,http://en.wikipedia.org/wiki/Corbin_Bleu
88,Heidi Blickenstaff,http://en.wikipedia.org/wiki/Heidi_Blickenstaff
89,Stephanie J. Block,http://en.wikipedia.org/wiki/Stephanie_J._Block
90,Eric Blore,http://en.wikipedia.org/wiki/Eric_Blore
91,Larry Blyden,http://en.wikipedia.org/wiki/Larry_Blyden
92,Walter Bobbie,http://en.wikipedia.org/wiki/Walter_Bobbie
93,Alfie Boe,http://en.wikipedia.org/wiki/Alfie_Boe
94,Stephen Bogardus,http://en.wikipedia.org/wiki/Stephen_Bogardus
95,Sierra Boggess,http://en.wikipedia.org/wiki/Sierra_Boggess
96,Ray Bolger,http://en.wikipedia.org/wiki/Ray_Bolger
97,Sheila Bond,http://en.wikipedia.org/wiki/Sheila_Bond
98,Shirley Booth,http://en.wikipedia.org/wiki/Shirley_Booth
99,Irene Bordoni,http://en.wikipedia.org/wiki/Irene_Bordoni
100,Christian Borle,http://en.wikipedia.org/wiki/Christian_Borle
101,Philip Bosco,http://en.wikipedia.org/wiki/Philip_Bosco
102,Tom Bosley,http://en.wikipedia.org/wiki/Tom_Bosley
103,Barry Bostwick,http://en.wikipedia.org/wiki/Barry_Bostwick
104,Simon Bowman,http://en.wikipedia.org/wiki/Simon_Bowman
105,Phillip Boykin,http://en.wikipedia.org/wiki/Phillip_Boykin
106,Eddie Bracken,http://en.wikipedia.org/wiki/Eddie_Bracken
107,Toni Braxton,http://en.wikipedia.org/wiki/Toni_Braxton
108,Lisa Brescia,http://en.wikipedia.org/wiki/Lisa_Brescia
109,Eileen Brennan,http://en.wikipedia.org/wiki/Eileen_Brennan
110,Donald Brian,http://en.wikipedia.org/wiki/Donald_Brian
111,Fanny Brice,http://en.wikipedia.org/wiki/Fanny_Brice
112,Beau Bridges,http://en.wikipedia.org/wiki/Beau_Bridges
113,Dee Dee Bridgewater,http://en.wikipedia.org/wiki/Dee_Dee_Bridgewater
114,Sarah Brightman,http://en.wikipedia.org/wiki/Sarah_Brightman
115,Helen Broderick,http://en.wikipedia.org/wiki/Helen_Broderick
116,Matthew Broderick,http://en.wikipedia.org/wiki/Matthew_Broderick
117,Geraldine Brooks,http://en.wikipedia.org/wiki/Geraldine_Brooks_(actress)
118,Louise Brooks,http://en.wikipedia.org/wiki/Louise_Brooks
119,Anne Brown,http://en.wikipedia.org/wiki/Anne_Brown
120,Blair Brown,http://en.wikipedia.org/wiki/Blair_Brown
121,Georgia Brown,http://en.wikipedia.org/wiki/Georgia_Brown_(English_singer)
122,Jason Robert Brown,http://en.wikipedia.org/wiki/Jason_Robert_Brown
123,Johnny Brown,http://en.wikipedia.org/wiki/Johnny_Brown_(actor)
124,Russ Brown,http://en.wikipedia.org/wiki/Russ_Brown_(actor)
125,Roscoe Lee Browne,http://en.wikipedia.org/wiki/Roscoe_Lee_Browne
126,Susan Browning,http://en.wikipedia.org/wiki/Susan_Browning
127,Carol Bruce,http://en.wikipedia.org/wiki/Carol_Bruce
128,Yul Brynner,http://en.wikipedia.org/wiki/Yul_Brynner
129,John W. Bubbles,http://en.wikipedia.org/wiki/John_W._Bubbles
130,Jack Buchanan,http://en.wikipedia.org/wiki/Jack_Buchanan
131,Betty Buckley,http://en.wikipedia.org/wiki/Betty_Buckley
132,Gregg Burge,http://en.wikipedia.org/wiki/Gregg_Burge
133,Tituss Burgess,http://en.wikipedia.org/wiki/Tituss_Burgess
134,Laura Bell Bundy,http://en.wikipedia.org/wiki/Laura_Bell_Bundy
135,Billie Burke,http://en.wikipedia.org/wiki/Billie_Burke
136,Delta Burke,http://en.wikipedia.org/wiki/Delta_Burke
137,Carol Burnett,http://en.wikipedia.org/wiki/Carol_Burnett
138,David Burns,http://en.wikipedia.org/wiki/David_Burns_(actor)
139,Karla Burns,http://en.wikipedia.org/wiki/Karla_Burns
140,Raymond Burr,http://en.wikipedia.org/wiki/Raymond_Burr
141,Danny Burstein,http://en.wikipedia.org/wiki/Danny_Burstein
142,Kate Burton,http://en.wikipedia.org/wiki/Kate_Burton_(actress)
143,Richard Burton,http://en.wikipedia.org/wiki/Richard_Burton
144,Meg Bussert,http://en.wikipedia.org/wiki/Meg_Bussert
145,Kerry Butler,http://en.wikipedia.org/wiki/Kerry_Butler
146,Norbert Leo Butz,http://en.wikipedia.org/wiki/Norbert_Leo_Butz
147,Sid Caesar,http://en.wikipedia.org/wiki/Sid_Caesar
148,James Cagney,http://en.wikipedia.org/wiki/James_Cagney
