44,Affair in Trinidad,1952,Musical film,Berne Giler and James Gunn,,https://en.wikipedia.org/wiki/Affair_in_Trinidad
45,The Affairs of Dobie Gillis,1953,Musical film,Max Shulman,,https://en.wikipedia.org/wiki/The_Affairs_of_Dobie_Gillis
46,Afgar,1919,West End,Fred Thompson and Worton David,,https://en.wikipedia.org/wiki/Afgar
47,Africana,1934,Broadway,Heyward,,
48,After the Ball,1953,West End,Coward,"Based on Oscar Wilde's play, Lady Windermere's Fan.",https://en.wikipedia.org/wiki/After_the_Ball_(musical)
49,Aida,2000,Broadway,"Linda Woolverton, Robert Falls and David Henry Hwang",,https://en.wikipedia.org/wiki/Aida_(musical)
50,Ain't Misbehavin',1978,Broadway revue,"Murray Horwitz and Richard Maltby, Jr.",,https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical)
51,Ain't Supposed to Die a Natural Death,1971,Broadway,Van Peebles,,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death
52,Aladdin,1958,Television musical,S. J. Perelman,,https://en.wikipedia.org/wiki/Aladdin_(TV_special)
53,"Aladdin

+ film (1992)

",2014,Broadway,Beguelin,"Based on the film of the same name. Notable Songs: ""A Whole New World"" and ""Friend Like Me"".",https://en.wikipedia.org/wiki/Aladdin_(2011_musical)
54,Ali Baba fr:Les 1001 Vies d'Ali Baba,2000,French musical,,,
55,Alice in Wonderland,1951,Animated film,Winston Hibler and Ted Sears,,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film)
56,Alice in Wonderland: An X-Rated Musical Comedy,1976,"Adult film
(Off-Broadway; 2007)",Bill Osco,Based on Lewis Carroll's book Alice's Adventures in Wonderland.,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1976_film)
57,Alice's Adventures in Wonderland,1972,Musical film,William Sterling,,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland_(1972_film)
58,Alice with Kisses,1964,Off-Broadway,,,
59,Alive and Kicking,1950,Broadway revue,I. A. L. Diamond,,https://en.wikipedia.org/wiki/Alive_and_Kicking_(musical)
60,All 4 One,2001,Off-West End,Heuston,,
61,All Aboard,1913,Broadway,Mark Swan,,
62,All American,1962,Broadway,Mel Brooks,,https://en.wikipedia.org/wiki/All_American_(musical)
63,All Hands on Deck,1961,Musical film,Jay Sommers,,https://en.wikipedia.org/wiki/All_Hands_on_Deck_(film)
64,All in Fun,1940,Broadway revue,,,
65,All in Love,1961,Off-Broadway,Geller,,
66,All Shook Up,2005,Broadway Jukebox musical,Joe DiPietro,,https://en.wikipedia.org/wiki/All_Shook_Up_(musical)
67,All That Jazz,1979,Musical film,Robert Alan Aurthur and Bob Fosse,,https://en.wikipedia.org/wiki/All_That_Jazz_(film)
68,All the Fun of the Fair,2008,West End,Jon Conway,David Essex Jukebox musical,https://en.wikipedia.org/wiki/All_the_Fun_of_the_Fair
69,All the King's Horses,1935,Musical film,"Edmund H. North, Frank Tuttle and Frederick Stephani","All the King's Horses by Lawrence Clark, Max Giersberg, Frederik Herendeen and Edward Horan",https://en.wikipedia.org/wiki/All_the_King%27s_Horses_(1935_film)
70,Allegiance,2012,Broadway,"Marc Acito, Jay Kuo, Lorenzo Thione","Regional Premiere 2012, Broadway 2015",
71,Allegro,1947,Broadway,Hammerstein II,,https://en.wikipedia.org/wiki/Allegro_(musical)
72,An Alligator Named Daisy,1955,Musical film,Jack Davies,,https://en.wikipedia.org/wiki/An_Alligator_Named_Daisy
73,"Alma, Where Do You Live?",1910,Broadway,Hobart,,
74,Alone at Last,1914,Broadway,,,
75,Along Fifth Avenue,1949,Broadway revue,,,
76,Altar Boyz,2005,Off-Broadway,Kevin Del Aguila,,https://en.wikipedia.org/wiki/Altar_Boyz
77,Amazing Grace,2012,Broadway,"Christopher Smith, Arthur Giron",Regional Premiere 2012. Broadway 2015,
78,Ambassador,1972,Broadway,Don Ettlinger and Anna Marie Barlow,,https://en.wikipedia.org/wiki/Ambassador_(musical)
79,Amen Corner,1983,Broadway,Philip Rose and Peter Udell,,https://en.wikipedia.org/wiki/Amen_Corner_(musical)
80,Amélie,2017,Broadway,Craig Lucas,Based on the 2001 romantic comedy of the same name,https://en.wikipedia.org/wiki/Am%C3%A9lie
81,America Kicks Up Its Heels,1983,Off-Broadway,Charles Rubin,,
82,The American Astronaut,2001,Musical film,Cory McAbee,,https://en.wikipedia.org/wiki/The_American_Astronaut
83,American Idiot,2010,Broadway,Armstrong and Michael Mayer,,https://en.wikipedia.org/wiki/American_Idiot_(musical)
84,American Pop,1981,Animated film,Ronni Kern,Paralleling the history of American popular music.,https://en.wikipedia.org/wiki/American_Pop
85,An American in Paris,1951,Musical film,Alan Jay Lerner,,https://en.wikipedia.org/wiki/An_American_in_Paris_(film)
86,An American in Paris,2015,Broadway,Craig Lucas,Based on 1951 musical film of the same name,https://en.wikipedia.org/wiki/An_American_in_Paris_(film)
87,America's Sweetheart,1931,Broadway,Herbert Fields,,https://en.wikipedia.org/wiki/America%27s_Sweetheart_(musical)
88,The Amorous Flea,1964,Off-Broadway,Jerry Devine,,https://en.wikipedia.org/wiki/The_Amorous_Flea
89,Amour,2002,Broadway,Jeremy Sams,,https://en.wikipedia.org/wiki/Amour_(musical)
90,Amphitryon,1935,Musical film,Reinhold Schünzel,"Based on the stage play Amphytrion by Molière, Titus Maccius Plautus and Heinrich von Kleist",https://en.wikipedia.org/wiki/Amphitryon_(film)
91,An Arabian Girl and 40 Thieves,1899,Broadway,,,
92,Anastasia,1997,Animated film,"Susan Gauthier, Bruce Graham, Bob Tzudiker, Noni White and Eric Tuchman",,https://en.wikipedia.org/wiki/Anastasia_(1997_film)
93,Anastasia,2017,Broadway,Terrence McNally,Based on 1997 animated musical film of the same name,https://en.wikipedia.org/wiki/Anastasia_(1997_film)
94,Anchors Aweigh,1945,Musical film,Natalie Marcin,,https://en.wikipedia.org/wiki/Anchors_Aweigh_(film)
95,And the Angels Sing,1944,Musical film,"Claude Binyon, Melvin Frank and Norman Panama",,https://en.wikipedia.org/wiki/And_the_Angels_Sing
96,And the World Goes 'Round,1991,Off-Broadway revue,N/A,,https://en.wikipedia.org/wiki/And_the_World_Goes_%27Round
97,André Charlot's Revue of 1924,1924,Revue,N/A,,
98,Andy Hardy's Private Secretary,1941,Musical film,,,https://en.wikipedia.org/wiki/Andy_Hardy%27s_Private_Secretary
99,Angel,1978,Broadway,Udell and Ketti Frings,,https://en.wikipedia.org/wiki/Angel_(musical)
100,Angel in the Wings,1947,Revue,,,https://en.wikipedia.org/wiki/Angel_in_the_Wings
101,Angelika,2007,Czech musical,,,https://en.wikipedia.org/wiki/Angelique_(novel_series)
102,"Angélique, Marquise des Anges",1995,French musical,,,https://en.wikipedia.org/wiki/Angelique_(novel_series)
103,Angry Housewives,1983,Off-Broadway,,,
104,Ani: A Parody,2014,Off-Broadway,,,https://en.wikipedia.org/wiki/Ani_(musical)
105,Animal Crackers,1928,Broadway,George S. Kaufman and Morrie Ryskind,,https://en.wikipedia.org/wiki/Animal_Crackers_(musical)
106,Ankles Aweigh,1955,Broadway,Guy Bolton and Eddie Davis,,https://en.wikipedia.org/wiki/Ankles_Aweigh
107,Anne & Gilbert,2005,Canadian musical,"Hochhauser, White and Johnston","Based on Lucy Maud Montgomery's novels, Anne of Avonlea and Anne of the Island.",https://en.wikipedia.org/wiki/Anne_%26_Gilbert
108,Anne of Green Gables,1965,Canadian musical,Harron,"Based on Lucy Maud Montgomery's novel, Anne of Green Gables.",https://en.wikipedia.org/wiki/Anne_of_Green_Gables:_The_Musical
109,"Annie

+ film (1982)
+ film (1999)
+ film (2014)

",1977,Broadway,Thomas Meehan,"Notable songs: ""Tomorrow"" and ""A Hard-Knock Life"".",https://en.wikipedia.org/wiki/Annie_(musical)
110,"Annie Get Your Gun

+ film (1950)

",1946,Broadway,Herbert Fields and Dorothy Fields,"Notable song: ""There's No Business Like Show Business"".",https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical)
111,Annie Warbucks,1993,Off-Broadway,Thomas Meehan,Sequel to Annie.,https://en.wikipedia.org/wiki/Annie_Warbucks
112,Anya,1965,Broadway,George Abbott and Guy Bolton,,https://en.wikipedia.org/wiki/Anya_(musical)
113,Anyone Can Whistle,1964,Broadway,Arthur Laurents,,https://en.wikipedia.org/wiki/Anyone_Can_Whistle
114,Anything Goes,1934,Broadway,Guy Bolton and P. G. Wodehouse,"Notable songs: ""Anything Goes"", ""You're the Top"" and ""I Get a Kick out of You"".",https://en.wikipedia.org/wiki/Anything_Goes
115,Applause,1970,Broadway,Betty Comden and Adolph Green,,https://en.wikipedia.org/wiki/Applause_(musical)
116,Apple Blossoms,1919,,,,
117,The Apple Tree,1966,Broadway,"Bock, Harnick and Jerome Coopersmith",,https://en.wikipedia.org/wiki/The_Apple_Tree
118,April in Paris,1952,Musical film,Jack Rose,,https://en.wikipedia.org/wiki/April_in_Paris_(film)
119,April Love,1957,Musical film,George Agnew,,https://en.wikipedia.org/wiki/April_Love_(film)
120,Arabian Nights,1954,Off-Broadway,,,
121,The Ark,1998,Off-Broadway,McLean and Kelly,,
122,The Arcadians,1909,West End,Mark Ambient and Alexander M. Thompson,,https://en.wikipedia.org/wiki/The_Arcadians_(musical)
123,Are You With It?,1945,Broadway,Sam Perrin and George Balzer,"Based on the novel, Slightly Perfect by George Malcolm-Smith.",https://en.wikipedia.org/wiki/Are_You_with_It%3F_(musical)
124,Argentine Nights,1940,Musical film,J. Robert Bren and Gladys Atwater,,
125,Ari,1971,Mark Hellinger Theatre,"Based on the novel, Exodus (Uris novel) by Leon Uris.",,
126,The Aristocats,1970,Animated film,"Ken Anderson, Larry Clemmons, Eric Cleworth, Vance Garry, Julius Svendsen, Frank Thomas, and Ralph Wright",Based on characters created by Tom McGowan and Tom Rowe,https://en.wikipedia.org/wiki/The_Aristocats
127,Arms and the Girl,1950,Broadway,Herbert Fields and Fields,,
128,Around the World,1946,Broadway,Orson Welles,,https://en.wikipedia.org/wiki/Around_the_World_(musical)
129,Arthur! Arthur!,1969,Musical film,Julian Symons,A musical retelling of Dudley Moore's Arthur films.,https://en.wikipedia.org/wiki/Arthur!_Arthur!
130,Artists and Models,1955,Musical film,"Frank Tashlin, Herbert Baker, and Hal Kanter","Notable song: ""Innamorata"".",https://en.wikipedia.org/wiki/Artists_and_Models
131,As Long as They're Happy,1954,Musical film,Melville,,https://en.wikipedia.org/wiki/As_Long_as_They%27re_Happy
132,As the Girls Go,1948,Broadway,William Roos,,https://en.wikipedia.org/wiki/As_the_Girls_Go
133,As Thousands Cheer,1933,Broadway,Moss Hart,,https://en.wikipedia.org/wiki/As_Thousands_Cheer
134,Aspects of Love,1990,West End,Lloyd Webber,"Notable song: ""Love Changes Everything"".",https://en.wikipedia.org/wiki/Aspects_of_Love
135,Assassins,1990,Off-Broadway,John Weidman,Premiered on Broadway in 2004.,https://en.wikipedia.org/wiki/Assassins_(musical)
136,At Home Abroad,1935,Broadway revue,N/A,,https://en.wikipedia.org/wiki/At_Home_Abroad
137,At Long Last Love,1975,Musical film,Peter Bogdanovich,,https://en.wikipedia.org/wiki/At_Long_Last_Love
138,At the Circus,1939,Musical film,Irving Brecher,,https://en.wikipedia.org/wiki/At_the_Circus
139,At the Drop of a Hat,1956,Off-West End revue,Swann and Flanders,Produced on Broadway in 1959.,https://en.wikipedia.org/wiki/At_the_Drop_of_a_Hat
140,At the Drop of Another Hat,1963,Off-West End revue,Swann and Flanders,Produced on Broadway in 1966.,https://en.wikipedia.org/wiki/At_the_Drop_of_Another_Hat
141,At War with the Army,1950,Musical film,James Allardice and Fred Finklehoffe,,https://en.wikipedia.org/wiki/At_War_with_the_Army
142,Athena,1954,Musical Film,William Ludwig and Leonard Spigelgass,,https://en.wikipedia.org/wiki/Athena_(film)
143,The Athenian Touch,1964,Off-Broadway,J. Albert Fracht and Arthur Goodman,,
144,Aunt Sally,1933,Musical film,Guy Bolton,,
145,Autant en emporte le vent,2003,French musical,,Based on the novel Gone with the Wind,https://en.wikipedia.org/wiki/Autant_en_emporte_le_vent
146,Avenue Q,2003,Broadway,Jeff Whitty,"Notable songs: ""It Sucks to Be Me"", ""Everyone's a Little Bit Racist"" and ""There's a Fine, Fine Line"".",https://en.wikipedia.org/wiki/Avenue_Q
147,Babes in Arms,1937,Broadway,Rodgers and Hart,"Notable songs: ""Where or When"", ""My Funny Valentine"", ""The Lady Is a Tramp"", ""Johnny One Note"" and ""I Wish I Were in Love Again"".",https://en.wikipedia.org/wiki/Babes_in_Arms
148,Babes in Toyland,1903,Broadway,MacDonough,,https://en.wikipedia.org/wiki/Babes_in_Toyland_(operetta)
149,Babes on Broadway,1941,Musical film,,,https://en.wikipedia.org/wiki/Babes_on_Broadway
150,Babette,1903,Broadway,Smith,,
151,Baby,1983,Broadway,Sybille Pearson,,https://en.wikipedia.org/wiki/Baby_(musical)
152,Baby It's You!,2011,Broadway,Floyd Mutrox and Colin Escott,,https://en.wikipedia.org/wiki/Baby_It%27s_You!
153,Baby Talk (Musical),2000,Neuköllner Opera,,Das Kinder-Krieg Musical,https://en.wikipedia.org/w/index.php?title=Baby_Talk_(Musical)&action=edit&redlink=1
154,Bad Girls: The Musical,2006,West End,Maureen Chadwick and Ann McManus,Based on the ITV1 television series Bad Girls.,https://en.wikipedia.org/wiki/Bad_Girls:_The_Musical
155,Back to the 80's,2004,Australian musical,Gooding,,https://en.wikipedia.org/wiki/Back_to_the_80s_(musical)
156,Bad Habits of 1926,1926,Broadway revue,N/A,,
157,Bajour,1964,Broadway,Ernest Kinoy,"Based on Joseph Mitchell's short stories, The Gypsy Women and The King of the Gypsies.",https://en.wikipedia.org/wiki/Bajour_(musical)
158,Baker Street,1965,Broadway,Jerome Coopersmith,,https://en.wikipedia.org/wiki/Baker_Street_(musical)
159,The Baker's Wife,1989,West End,Joseph Stein,"Aimed at a Broadway run in 1976, but closed during try-outs.",https://en.wikipedia.org/wiki/The_Baker%27s_Wife
160,The Balkan Princess,1910,West End,Frederick Lonsdale and Frank Curzon,,https://en.wikipedia.org/wiki/The_Balkan_Princess
161,Ball im Savoy,1932,German operetta,Abraham,,https://en.wikipedia.org/wiki/Ball_im_Savoy
162,Ballad for Bimshire,1963,Off-Broadway,Burgie and Loften Mitchell,,
163,Ballroom,1978,Broadway,Jerome Kass,,https://en.wikipedia.org/wiki/Ballroom_(musical)
164,Bambi,1942,Animated film,Larry Morey,,https://en.wikipedia.org/wiki/Bambi
165,Band Geeks,2014,Off-Off-Broadway,Alter,,https://en.wikipedia.org/w/index.php?title=Band_Geeks_(musical)&action=edit&redlink=1
166,Band Waggon,1940,Musical film,,,https://en.wikipedia.org/wiki/Band_Waggon_(film)
167,The Band Wagon,1931,Broadway revue,N/A,"Notable songs: ""I Love Louisa"", ""Hoops"" and ""Dancing in the Dark"".",https://en.wikipedia.org/wiki/The_Band_Wagon
